id,name,kingdom,cost,rating,武力_基础,武力_成长,智力_基础,智力_成长,统率_基础,统率_成长,速度_基础,速度_成长,政治_基础,政治_成长,魅力_基础,魅力_成长,骑兵,盾兵,弓兵,枪兵,器械,自带战法名称,自带战法类型,自带战法品质,自带战法发动概率,自带战法效果,传承战法名称,传承战法类型,传承战法品质,传承战法发动概率,传承战法效果
wei25,典韦,魏,6,5,95,2.62,35,0.19,72,1.36,72,1.25,0,0,0,0,B,S,C,A,C,古之恶来,指挥,S,100%,我军主将即将受到普通攻击时，自身对攻击者进行一次猛击（伤害率40%）并使其造成兵刃伤害降低9%，持续1回合，随后为我军主将承担此次普通攻击,,,,,
wei26,徐晃,魏,6,5,90,2.09,78,1.28,91,1.47,61,0.73,0,0,0,0,A,S,C,A,B,长驱直入,被动,S,100%,战斗中，每次造成兵刃伤害后，使自己造成的兵刃伤害提升7.5%，最大叠加5次,,,,,
wei27,夏侯惇,魏,6,5,90,2.1,63,0.84,92,2.07,66,1.18,0,0,0,0,S,S,C,A,B,刚烈不屈,被动,S,100%,战斗中，使自己统率提升19点，受到兵刃伤害时有40%几率对敌军群体（2人）造成兵刃伤害（伤害率42%）,,,,,
wei28,钟会,魏,6,5,51,0.84,91,2.01,82,1.88,75,1.26,0,0,0,0,A,B,S,A,A,精练策数,主动,S,35%,准备1回合，对敌军群体（2-3人）造成谋略攻击（伤害率105%，受智力影响），并缴械（无法进行普通攻击），持续2回合,,,,,
wei29,满宠,魏,5,5,64,0.92,82,2.08,85,1.95,61,1.08,0,0,0,0,A,S,A,B,A,镇扼防拒,指挥,S,100%,每回合有50%概率（受智力影响）使我军单体（优先选除自己之外的副将）援护所有友军并获得休整状态（每回合恢复一次兵力，治疗率96%，受智力影响），持续1回合，同时使其在1回合内受到普通攻击时，有27.5％概率（受智力影响）移除攻击者的增益状态,,,,,
wei30,王双,魏,5,5,88,2.35,19,0.27,67,1.44,67,0.89,0,0,0,0,A,S,C,A,C,震骇四境,主动,S,40%,发动2次对敌军单体的兵刃攻击（伤害率89%），分别造成使其首次受到兵刃伤害提高15%（受物理影响）及计穷（无法发动主动战法）状态，持续1回合，每次目标独立选择,,,,,
wei31,王元姬,魏,5,5,37,0.37,73,2.01,53,1.93,57,1,0,0,0,0,A,B,A,S,C,垂心万物,指挥,S,100%,战斗中，奇数回合有35%概率（受智力影响）使我军武力最高的武将造成兵刃伤害提高10%（受智力影响，持续到其行动前），若目标不处于连击状态则令其尝试对敌军单体发动一次普通攻击，否则自身对敌军单体造成谋略伤害（伤害率94%，受智力影响），偶数回合有35%概率（受智力影响）恢复我军群体（2人）兵力（治疗率43％，受智力影响）,,,,,
wei32,曹纯,魏,5,5,71,1.72,63,0.79,75,1.34,52,0.47,0,0,0,0,S,C,B,B,C,虎豹骑-自带,兵种,S,100%,将骑兵进阶为天下骁锐的虎豹骑：我军全体提高20武力，战斗前3回合，我军全体突击战法发动率提高5％，若曹纯统领时，提升的发动概率额外受武力影响,,,,,
wei33,于禁,魏,5,5,78,2.01,74,0.85,83,1.14,35,0.59,0,0,0,0,A,S,B,A,C,持军毅重,主动,S,35%,使自己下次受到兵刃伤害提高40％，持续一回合，提高自身28点武力，持续3回合，并对敌军群体（2人）造成猛烈一击（伤害率92％）,,,,,
wei34,乐进,魏,5,5,85,2.06,56,0.72,80,1.77,68,1.17,0,0,0,0,S,A,B,S,S,临战先登,主动,S,35%,对敌军群体（2人）造成兵刃攻击（伤害率75%），之后自己进入虚弱状态（无法造成伤害），持续1回合,,,,,
wei35,邓艾,魏,5,5,87,1.47,89,1.66,93,1.79,74,1.11,0,0,0,0,A,B,A,S,S,暗度陈仓,主动,S,40%,准备1回合，对敌军单体造成谋略攻击（伤害率260%，受智力影响）并使其进入震慑状态（无法行动），持续2回合,,,,,
wei36,夏侯渊,魏,5,5,91,2.36,68,0.84,90,1.28,75,1.33,0,0,0,0,S,B,S,B,A,将行其疾,突击,S,35%,普通攻击之后，对随机敌军单体发动一次兵刃攻击（伤害率158%）；若命中敌军主将，则使其进入计穷（无法发动主动战法）状态，持续2回合,,,,,
wei37,庞德,魏,6,5,94,2.31,75,0.83,89,1.05,35,0.57,0,0,0,0,A,B,S,B,B,抬棺决战,主动,S,35%,准备1回合，移除敌军群体（2人）的增益效果，随后造成兵刃攻击（伤害率127.5%）,,,,,
wei38,郭嘉,魏,5,5,15,0.21,96,2.64,88,1.42,83,1.21,0,0,0,0,A,A,A,B,B,十胜十败,指挥,S,100%,战斗前2回合，使我军主将获得洞察（免疫所有控制效果）状态，受到的伤害降低25%,,,,,
wei39,曹丕,魏,4,5,71,0.92,83,1.85,70,1.34,56,1.04,86,2.4,82,1.05,A,A,S,C,C,戮力上国,内政,S,,委任为主政官时，城建设施升级时间降低15%,,,,,
wei40,张春华,魏,3,5,49,0.4,79,1.98,60,1.34,48,0.63,0,0,0,0,A,A,A,C,B,沉断机谋,主动,S,40%,使敌军群体（2人）统率、智力降低30%，持续2回合，并造成谋略伤害（伤害率78％，受智力影响）,,,,,
shu1,SP关羽,蜀,7,5,97,2.68,79,1.05,97,2.04,74,1.3,62,0.5,93,1.36,S,A,C,S,C,水淹七军,主动,S,50%,对敌军群体（2人）施加水攻效果（伤害率96%，受武力影响，自身为主将时，伤害率提升至108%），持续2回合；第二次及之后施放前，使敌军群体（2-3人）受到兵刃伤害提升20%（受武力影响），持续1回合；第三次及之后施放时，有40%概率（受武力影响）立即结算敌军全体身上的水攻伤害且不清除状态；第四次施放后，对有水攻状态的敌军造成兵刃伤害（伤害率208%）,,,,,
shu2,刘备,蜀,7,5,77,1.36,78,1.67,81,1.98,41,1.05,80,1.31,99,2.7,S,S,A,A,C,仁德载世,指挥,S,100%,每回合治疗我军群体（2人，治疗率34％，受智力影响），并使其受到伤害降低4％，持续1回合，且有5%概率对敌军单体施加虚弱（无法造成伤害）状态，持续1回合，自身为主将，施加虚弱状态的概率提高至12.5%,义心昭烈,指挥,S,100%,战斗中，自身造成治疗效果时，使目标受到主动战法伤害降低7％（受智力影响），持续1回合，当自身兵力首次低于30%时，使我军全体受到伤害时会分摊25%伤害，持续1回合
shu3,庞统,蜀,7,5,34,0.52,97,2.61,85,1.33,34,0.79,0,0,0,0,C,B,S,A,B,连环计,主动,S,70%,准备1回合，对敌军全体施放铁索连环，使其任一目标受到伤害时会反馈7.5％（受智力影响）伤害给其他单位，持续2回合，并发动谋略攻击（伤害率78％，受智力影响）,,,,,
shu4,马超,蜀,7,5,97,2.65,44,0.76,93,1.25,78,1.17,0,0,0,0,S,B,B,S,B,槊血纵横,被动,S,100%,战斗中，使自己获得17点武力及27%群攻（普通攻击时对目标同部队其他武将造成伤害）效果，自身为主将时，群攻值为30％,,,,,
shu5,诸葛亮,蜀,7,5,38,0.41,100,3,98,2.36,37,0.55,0,0,0,0,C,B,S,S,S,神机妙算,指挥,S,100%,敌军群体（2人）发动主动战法时，有25%几率令其失败并对其造成谋略伤害（伤害率100％，受智力影响），自身为主将时，该次伤害会基于双方智力之差额外提高,舌战群儒,指挥,S,100%,敌军尝试发动主动战法时，有15%几率令其发动几率降低5%（受智力影响），并提高自己及随机友军主动战法2％（受智力影响）发动几率，持续1回合
shu6,关羽,蜀,7,5,97,2.68,79,1.05,97,2.04,74,1.3,0,0,0,0,S,A,C,S,C,威震华夏,主动,S,35%,准备1回合，对敌军全体进行猛攻（伤害率146%），使其有50%概率进入繳械（无法进行普通攻击）、计穷（无法发动主动战法）状态，独立判定，持续1回合，并使自己造成的兵刃伤害提升36%，持续2回合；自身为主将时，造成控制效果的概率提高为65%,,,,,
shu7,SP黄忠,蜀,6,5,93,2.3,65,1.07,90,1.82,52,0.81,52,0.46,75,0.54,A,S,S,A,C,定军斩将,主动,S,35%,1回合准备，对敌军全体造成兵刃伤害（伤害率98%-196%）并使其造成伤害降低16%-32%（受武力影响），持续2回合，随后使我军全体2回合内免疫计穷,,,,,
shu8,SP法正,蜀,6,5,47,0.23,94,2.49,82,1.6,71,0.55,78,0.8,55,0.77,B,S,A,A,A,虚实奇谋,指挥,S,100%,"战斗中,若我军主将当前兵种适性为A，则使其战斗属性提升4→8%(受智力影响)，若为S，则使其自带主动战法发动率提升4-8%(受智力影响):且每回合有25-50%概率(受智力影响)使我军群体(2-3人)进入1回合刚毅状态:17.5→35%概率(受智力影响)不受负面状态影响。",,,,,
shu9,SP诸葛亮,蜀,6,5,38,0.41,100,3,98,1.79,37,0.93,0,0,0,0,C,B,S,S,S,锦囊妙计,指挥,S,100%,战斗中，奇数回合有14%概率（受智力影响），偶数回合有35%概率（受智力影响）使友军单体的自带主动战法发动率提高100%且有12.5%概率跳过1回合准备，持续1回合；自身为主将时，触发时额外对敌军单体造成谋略伤害（伤害率22.5%，受智力及双方智力差影响）并使跳过概率提高至40%,,,,,
shu10,伊籍,蜀,6,5,24,0.32,80,2.25,29,1.67,49,0.49,86,0.8,78,1.01,S,B,B,A,C,才辩机捷,被动,S,100%,使自身施加的灼烧、水攻、中毒、溃逃、沙暴、叛逃状态伤害提高45%，休整和急救的恢复量提高15%,,,,,
shu11,严颜,蜀,6,5,81,1.83,73,1.35,80,1.88,51,0.81,0,0,0,0,B,A,S,A,B,誓守无降,主动,S,35%,准备1回合，使我军群体（2人）进入洞察（免疫所有控制效果）状态，持续2回合，并使自身2回合内受到下一次谋略伤害时，计穷（无法发动主动战法）敌军主将，持续2回合,,,,,
shu12,张苞,蜀,6,5,87,2.34,48,0.59,78,1.72,60,1.06,0,0,0,0,A,A,B,S,C,枪舞如风,主动,S,40%,使自身及友军单体获得2次抵御，持续1回合，并使自身本回合发动普通攻击后，对敌军造成兵刃伤害（伤害率120%）及掠阵状态：掠阵状态叠加两次时，移除掠阵状态并使自身提高20点武力，可叠加；若与关兴同时出战，则友军单体必定选择关兴,,,,,
shu13,关兴,蜀,6,5,86,2.3,67,0.94,76,1.63,59,1.02,0,0,0,0,A,A,B,S,C,刀出如霆,主动,S,40%,准备1回合，自身及友军单体获得15%倒戈，持续2回合，并对敌军造成兵刃伤害（伤害率150%，由敌军全体武将评分，敌军每有1名副将总伤害率提高60％及掠阵状态：掠阵状态叠加两次时，移除掠阵状态并使目标受到兵刃伤害提高15%，可叠加；若与张苞同时出战，友军单体必定选择张苞,,,,,
shu14,马岱,蜀,6,5,85,2.09,62,1.04,79,1.39,66,1.19,54,0.54,74,0.81,S,S,B,A,B,密计诛逆,指挥,S,100%,战斗中，我军主将造成伤害（大于300）后，有25%一50%概率使敌军单体造成最终伤害降低7.5%一15%（受统率影响，持续2回合，可叠加3次），且前2回合有25%一50%概率（受统率影响）今主将对敌军全体造成1次兵刃伤害（伤害率12.5%—25%，受主将统率影响）；战斗第6回合，自身对敌军单体造成斩杀伤害（伤害率100%+12.5%-25%*最终降伤施加次数）,,,,,
shu15,关银屏,蜀,6,5,78,2.09,42,0.76,73,1.97,65,1.21,0,0,0,0,S,B,C,S,C,将门虎女,主动,S,50%,对敌军群体（2人）造成兵刃伤害（伤害率64%）及虎嗔效果；下1回合受到额外兵刃伤害（伤害率10%，目标每次受到伤害时，伤害率提高15％，最多叠加3次），若目标在虎嗔效果期间受到3次伤害时，立即结算虎嗔效果并额外造成1回合震慑，并使自己造成的兵刃伤害提升4%（兵刃伤書提升效果可叠加）,,,,,
shu16,马云禄,蜀,6,5,77,2.09,55,1.01,85,1.43,53,0.79,0,0,0,0,S,C,B,A,C,鸱苕凤姿,被动,S,100%,普通攻击伤害提高30%（受目标损失兵力影响），战斗第5回合时，锁定敌方兵力最低单体直到战斗结束，并且普通攻击时有35%概率使目标进入禁疗（无法恢复兵力）状态，持续1回合,,,,,
shu17,陈到,蜀,6,5,71,1.62,67,1.58,76,0.72,53,0.95,0,0,0,0,C,B,B,S,B,白毦兵-自带,兵种,S,100%,将枪兵进阶为攻无不破的白毦兵：我军全体战斗中普通攻击后有20％概率对攻击目标再次发起一次谋略攻击（伤害率55%，受智力影响）；若陈到统领，则谋略攻击更为强力（伤害率65％，受智力影响）,,,,,
shu18,姜维,蜀,6,5,89,2.01,90,2.03,92,2.05,64,1.01,0,0,0,0,S,A,S,A,C,义胆雄心,被动,S,100%,战斗中，奇数回合会对敌军单体造成92%兵刃伤害并降低武力32点，持续2回合，偶效回合会对敌军群体（2人）造成38%谋略伤害（受智力影响）并降低智力17点，持续2回合；自身为主将时，降低属性效果受自身对应属性影响,,,,,
shu19,魏延,蜀,6,5,92,2.37,72,1.17,85,1.49,55,1.04,0,0,0,0,A,S,B,S,C,奇兵间道,被动,S,100%,战斗中，自身发动准备战法时，有75%几率（受武力影响）减少1回合准备时间，战斗前4回合，主动战法造成的伤害提高15%（受武力影响），第5回合时，若自身兵力低于50%，获得22.5%倒戈，直到战斗结束,,,,,
shu20,黄忠,蜀,6,5,93,2.3,65,1.07,90,1.16,52,0.81,0,0,0,0,A,S,S,A,C,百步穿杨,主动,S,35%,准备1回合，提高自身12.5%会心几率（触发时兵刃伤害提高100%），持续2回合，随后对敌军全体造成兵刃伤害（伤害率90%），若目标处于控制状态，则该次兵刃攻击更为强力（伤害率120%）,,,,,
shu21,赵云,蜀,6,5,96,2.62,77,0.96,96,2.06,70,1.11,0,0,0,0,S,A,A,S,C,一身是胆,被动,S,100%,战斗中，使自己获得洞察状态（免疫所有控制效果），武力、智力、速度、统率提升20点，自身为主将时，提升值为25点,,,,,
shu22,张飞,蜀,6,5,98,2.69,30,0.22,94,1.69,70,1.26,0,0,0,0,A,S,C,S,C,燕人咆哮,被动,S,100%,战斗第2、4回合，对敌军全体造成兵刃攻击（伤害率52%）；若目标处于缴械状态，则额外使目标统率降低25%，持续2回合，自身为主将时，降低统率效果额外对计穷状态的目标生效,,,,,
shu23,蒋琬,蜀,5,5,34,0.72,84,1.46,78,0.73,61,0.62,93,2.39,81,1.19,B,C,S,C,S,克遵画一,内政,S,,武将委任为采石官时，石料产量提升1.5%,,,,,
shu24,王平,蜀,5,5,79,1.3,76,1.25,83,1.44,55,0.85,0,0,0,0,B,B,S,C,C,无当飞军-自带,兵种,S,100%,将弓兵进阶为矢不虚发的无当飞军：我军全体统率、速度提高11点，首回合对敌军群体（2人）施加中毒状态，每回合持续造成伤害（伤害率40％，受智力影响），持续3回合；若王平统领，对敌军全体施加中毒状态，但伤害率降低（伤害率33％，受智力影响）,,,,,
shu25,徐庶,蜀,5,5,64,0.3,93,2.33,87,1.29,48,0.51,0,0,0,0,S,B,A,B,B,处兹不惑,主动,S,35%,使敌军群体（2人）有30%几率随机获得灼烧（受智力影响）、中毒（受智力影响）、溃逃（受武力影响）状态，每回合持续造成伤害（伤害率70%），每种状态独立判定，持续2回合,,,,,
shu26,SP黄月英,蜀,4,5,31,0.03,88,2.1,58,1.35,66,0.97,87,0.71,79,0.86,C,C,C,C,S,蕙质兰心,指挥,S,100%,战斗中，我军全体统率提升10-120（受各自智力影响），且自身获得7层兰心效果，每层使自身造成和受到伤害降低5%-10%；自身受到伤害时，消耗1层兰心效果并有50%概率（受智力影响）治疗我军单体（治疗率111%-222%，受智力影响），兰心首次降至4层时，敌我全体造成的兵刃伤害降低10%一20%（受智力影响）,,,,,
shu27,张姬,蜀,4,5,61,1.23,37,1.07,20,1.04,67,1.36,0,0,0,0,A,B,B,S,C,奋矛英姿,被动,S,100%,每次普通攻击后，降低敌方7.5统率，将其转化为自身的武力，直到战斗结束，每第4次普通攻击时，伤害提高50%并对敌军全体造成伤害,,,,,
shu28,黄月英,蜀,4,5,31,0.46,88,2.01,58,1.35,66,1.07,0,0,0,0,C,C,C,C,S,工神,指挥,S,100%,战斗前3回合，使我军全体获得先攻（优先行动）状态，我军主将造成伤害提升15%，我军副将造成伤害提升7.5%；第4回合开始，我军全体造成伤害降低15%，持续2回合,,,,,
shu29,法正,蜀,4,5,47,0.32,94,2.09,82,1.01,71,0.68,0,0,0,0,B,S,A,A,A,以逸待劳,主动,S,35%,治疗我军群体（2人，治疗率77%，受智力影响），并使其下3次受到伤害分别降低（25%、18.8%、12.5%，受智力影响），且下次受到控制状态时有25％（受智力影响）几率免疫,,,,,
wu1,SP孙坚,吴,7,5,90,1.95,79,0.83,94,2.32,34,0.15,73,0.35,91,1.13,A,S,S,A,C,奉令平虏,指挥,S,100%,战斗中，友军获得功能性增益时有17.5%-35%概率（受统率影响，自身为主将时基础值提升至20%一40%）延长1回合；此效果每触发3次，治疗友军单体（治疗率20%-40%，受已损兵力影响）且若友军智力高于武力则获得5%一10％攻心，否则获得5%-10%倒戈，持续1回合,,,,,
wu2,SP吕蒙,吴,7,5,81,1.96,89,1.98,91,2.27,37,0.59,78,0.98,82,1.12,B,B,S,S,S,溯江摇橹,被动,S,100%,战斗中，每回合有25%概率净化自身，自身造成伤害时，有17.5%概率使随机敌军单体进入计穷或震慑状态，持续1回合，每回合最多触发1次，受到伤害时，有30%概率对敌军单体造成对应类型的伤害（伤害率25%，受对应属性影响）；自身为主将时，净化的触发概率提高5%,,,,,
wu3,孙尚香,吴,7,5,86,2.39,70,1.18,76,1.26,73,1.11,0,0,0,0,S,B,S,A,C,弓腰姬,指挥,S,100%,发动普通攻击前对敌军单体造成兵刃伤害（伤害率61%），自身拥有功能性增益状态时额外对其造成兵刃伤害（伤害率10％x状态数）并提高9武力，最多叠加5次,,,,,
wu4,张纮,吴,7,5,22,0.32,86,1.33,24,0.61,32,0.61,95,2.67,82,0.84,C,C,B,C,A,奇施经略,内政,S,,武将委任为税务官时，铜币产量提升1.5%,,,,,
wu5,张昭,吴,7,5,3,0.31,84,1.25,33,0.74,50,0.65,97,2.68,80,0.87,C,C,C,B,C,功勋克举,内政,S,,武将委任为主政官时，全资源产量提升1.3%,,,,,
wu6,陆逊,吴,7,5,69,0.42,95,2.6,94,1.88,39,0.72,0,0,0,0,C,B,S,A,A,火烧连营,主动,S,35%,对敌军单体施加灼烧状态（伤害率41%，受智力影响，自身为主将时，伤害率提高至49%），持续3回合，随机施放2次。若目标已有灼烧状态则进行焚营：对敌军全体造成谋略伤害（伤害率31％，受智力影响），之后对另一名敌军施加灼烧状态，若处于灼烧状态的目标同一回合内受到两次焚营伤害，则有30%概率进入震慑状态，持续1回合,,,,,
wu7,SP步练师,吴,6,5,10,0.15,64,2.02,47,1.52,35,0.4,72,1.6,50,2.01,C,C,S,C,A,淑懿之德,指挥,S,100%,战斗中，我军主将每拥有1种功能性状态，使其智力、統率提升1.5%-3%（受智力影响）；第3回合起，每回合有25%一50%概率（受智力影响）使其对敌军单体造成1次谋略伤害（伤害率12.5%—25%*功能性增益状态数）,,,,,
